About,Rólunk,
Actions,Műveletek,
Add Section with Tabs,Szakasz hozzáadása lapokkal,
Add a new address,Új cím hozzáadása,
Add notes,Jegyzetek hozzáadása,
Add to Cart,Adja a kosárhoz,
Add to Quote,Hozzáadás az ajánlathoz,
Add-ons,Kiegészítések,
Address Line 1,1. cím sor,
Address Line 2,2. cím sor,
Address Title,Cím neve,
Address Type,Cím típusa,
Advanced Display Content,Speciális tartalom megjelenítése,
After payment completion redirect user to selected page.,A fizetés befejezése után a felhasználót átirányítja a kiválasztott oldalra.,
All Products,Minden termék,
Allow items not in stock to be added to cart,"Hagyja, hogy a készletben nem lévő tételek kosárba kerüljenek",
Already Published,Már közzétett,
Amount,Összeg,
Applied Coupon Code,Alkalmazott kuponkód,
Apply Coupon Code,Kuponkód alkalmazása,
Apps,Alkalmazások,
Attachments,Mellékletek,
Attributes,Jellemzők,
Available on,Elérhető,
Available on backorder,Elérhető előrendelésre,
Billing Address,Számlázási cím,
Billing Address is same as Shipping Address,A számlázási cím megegyezik a szállítási címmel,
Brand,Márka,
Cannot Merge,Nem lehet összevonni,
Cannot find a matching Item. Please select some other value for {0}.,"Nem találja a megfelelő tételt. Kérjük, válasszon másik értéket erre {0}.",
Cart is Empty,A kosár üres,
Categories,Kategóriák,
Change,Változtatás,
Checkout,Kijelentkezés,
Checkout Settings,Kijelentkezés beállítások,
City/Town,Város,
Clear,Törlés,
Clear All,Minden törlése,
Clear Values,Értékek törlése,
Clear values,Értékek törlése,
Comment,Megjegyzés,
Company,Vállalat,
Contact Us,Lépjen kapcsolatba velünk,
Content,Tartalom,
Continue Selection,Választás folytatása,
Continue Shopping,Vásárlás folytatása,
Copy From Item Group,Másolás tétel csoportból,
Country,Ország,
Coupons,Kuponok,
Customer,Vevő,
Customer Reviews,Vevői vélemények,
Debtors ({0}),Követelések ({0}),
Default Customer Group,Alapértelmezett vevői csoport,
Delivery available on,Szállítás elérhető,
Description,Leírás,
Discounts,Kedvezmények,
Display Additional Information,További információk megjelenítése,
Display Images,Képek megjelenítése,
Display Information,Információk megjelenítése,
Display Settings,Megjelenítési beállítások,
Documentation,Dokumentáció,
Edit,Szerkesztés,
Email,Email,
Enable Attribute Filters,Attribútumszűrők engedélyezése,
Enable Checkout,Fizetés engedélyezése,
Enable Field Filters (Categories),Mezőszűrők (Kategóriák) engedélyezése,
Enable Recommendations,Ajánlások engedélyezése,
Enable Redisearch,Redisearch engedélyezése,
Enable Reviews and Ratings,Vélemények és értékelések engedélyezése,
Enable Shopping Cart,Bevásárlókosár engedélyezése,
Enable Variant Selection,Változatválasztás engedélyezése,
Enable Wishlist,Kívánságlista engedélyezése,
Enter value betweeen {0} and {1},Írjon be egy értéket {0} és {1} között,
Expected Delivery Date,Kívánt szállítási dátum,
Explore,Fedezd fel,
FREE,INGYENES,
Filter Fields Row #{0}: Fieldname {1} must be of type 'Link' or 'Table MultiSelect',Szűrőmező sor #{0}: A(z) {1} mezőnek 'Link' vagy 'Táblázat többválasztásos' típusúnak kell lennie,
Filters,Szűrők,
Filters and Categories,Szűrők és kategóriák,
Follow these steps to create a landing page for your store,Kövesse ezeket a lépéseket egy landing oldal létrehozásához az üzletéhez,
Frappe School,Frappe Iskola,
Frappe Support,Frappe Támogatás,
Fri,Pé,
Friday,Péntek,
Full Name,Teljes név,
Go to Cart,Kosárhoz,
Go to Quote,Ajánlathoz,
Grand Total,Teljes összeg,
Guest Display Settings,Vendég megjelenítési beállítások,
Has Variants,Változatokkal rendelkezik,
Hide Price for Guest,Ár elrejtése a vendégek számára,
Hide Variants,Változatok elrejtése,
Home,Kezdő oldal,
Homepage Featured Product,Kezdőlap Ajánlott termék,
Image,Kép,
Image Alternative Text,Kép alternatív szövege,
Image Description,Képleírás,
Image View,Kép megtekintése,
In stock,Raktáron,
Indicate that Item is available on backorder and not usually pre-stocked,"Jelölje meg, hogy a tétel előrendelhető és általában nincs raktáron",
Invoices,Számlák,
Is Redisearch Loaded,Redisearch betöltve,
Item,Termék,
Item Code,Tételkód,
Item Code is required,Tételkód szükséges,
Item Description,Tétel leírása,
Item Details,Elem Részletek,
Item Group,Termékcsoport,
Item Image (if not slideshow),Tétel Kép (ha nem slideshow),
Item Name,Termék neve,
Item Review,Termék vélemény,
Item Search Settings,Tétel keresési beállítások,
Item {0} is not available for delivery on {1}.,A(z) {0} tétel nem elérhető a(z) {1}. szállításra.,
Items,Termékek,
Items with higher ranking will be shown higher,A magasabb rangsorolású elemek feljebb lesznek megjelenítve,
Keyboard Shortcuts,Billentyűparancsok,
Label,Címke,
"Link to redirect Guest on actions that need login such as add to cart, wishlist, etc. <b>E.g.: /login</b>","Hivatkozás a vendég átirányítására olyan műveletek esetén, amelyek bejelentkezést igényelnek, például a kosárba helyezés, a kívánságlista stb. <b>Például: /login</b>",
List this Item in multiple groups on the website.,Sorolja ezeket a tételeket több csoportba a weboldalon.,
Loading...,Betöltés...,
Log out,Kijelentkezés,
Make Purchase Invoice,Beszerzési számla készítése,
Mandatory,Kötelező,
Message,Üzenet,
Missing,Hiányzó,
Missing Currency,Hiányzó pénznem,
Mon,Hé,
Monday,Hétfő,
More,Tovább,
More Information,További információ,
More details,Részletek,
More...,Tovább...,
Move to Cart,Kosárba helyezés,
My Account,Fiókom,
My Profile,Profilom,
My Settings,Beállításaim,
Naming Series,Elnevezési sorozatok,
Net Total,Nettó összesen,
Net Total (,Nettó összesen (,
New Address,Új cím,
Next,Következő,
No Reviews,Nincsenek vélemények,
No products found,Nem található termék,
No values,Nincs érték,
Not Permitted,Nem engedélyezett,
Not Published,Nincs közzététel,
Not in stock,Nincs raktáron,
Note,Jegyzet,
Offer Details,Ajánlat részletei,
Offer Subtitle,Ajánlat alcíme,
Offer Title,Ajánlat címe,
Offers,Ajánlatok,
Offers to Display,Megjelenítendő ajánlatok,
On Backorder,Előrendelhető,
Only {0} in Stock for item {1},Csak {0} van raktáron a (z) {1} cikknél,
Orders,Rendelések,
Organization Name,Vállalkozás neve,
Out of stock,Elfogyott,
Past Orders,Korábbi rendelések,
Past Quotes,Korábbi ajánlatok,
Pay,Fizetés,
Pay Remaining,Fennmaradó fizetése,
Payment Gateway Account,Fizetési átjáró számla fiókja,
Payment Gateway Account not set,Fizetési átjáró számla nincs beállítva,
Payment Success Url,Fizetés sikeres URL,
Payment Summary,Fizetési összegzés,
Pending,Függőben,
Phone Number,Telefonszám,
Place Order,Megrendelés,
Please enter a coupon code,"Kérjük, adja meg a kuponkódot",
Please enter a valid coupon code,"Kérjük, adjon meg érvényes kuponkódot",
Please set a delivery date,"Kérjük, állítson be szállítási dátumot",
Postal Code,Irányítószám,
Prev,Előző,
Price,Ár,
Price List,Árlista,
Prices,Árak,
Prices will not be shown if Price List is not set,"Az árak nem jelennek meg, ha az Árlista nincs beállítva",
Print,Nyomtatás,
Product Details,Termék részletek,
Product Search,Termék keresés,
Products,Termékek,
Products per Page,Termékek oldalanként,
Publish in Website,Közzététel a weboldalon,
Published,Közzétett,
Published on,Megjelent,
Publishing Item ...,Termék közzététele...,
Quantity,Mennyiség,
Quotation Series,Árajánlat sorozat,
Ranking,Rangsor,
Rate,Ár,
Rate:,Ár:,
Rating,Értékelés,
Recent,Legutóbbi,
Recommended Items,Ajánlott tételek,
Recommended/Similar Items,Ajánlott/Hasonló tételek,
Redirect on Action,Művelet átirányítása,
Redisearch Error,Redisearch hiba,
Redisearch Warning,Redisearch figyelmeztetés,
Reload,Frissítés,
Report an Issue,Hiba jelentése,
Request for Quote,Ajánlatkérés,
Review Submitted,Vélemény elküldve,
Review Title,Vélemény címe,
Reviews,Vélemények,
Route,Útvonal,
Row #{0}: Item {1} must have a Website Item for Shopping Cart Quotations,Sor #{0}: A(z) {1} tételnek weboldal termékre van szüksége a bevásárlókosár ajánlathoz,
Sat,Szo,
Saturday,Szombat,
Save,Mentés,
Save Quotations as Draft,Ajánlat mentése vázlatként,
Savings,Megtakarítás,
Search Index Fields,Keresési index mezők,
Search Results,Keresési eredmények,
Search and SEO,Keresés és SEO,
Search results for,Keresési eredmények erre,
See past orders,Korábbi rendelések megtekintése,
See past quotations,Korábbi ajánlatok megtekintése,
Select Variant,Változat kiválasztása,
Select Variant for {0},Változat kiválasztása a következőhöz: {0},
Send,Küldés,
Session Defaults,Munkamenet beállításai,
Set Address,Cím beállítása,
Set Meta Tags,Metacímkék beállítása,
Set Shipping Address or Billing Address,Állítson be szállítási címet vagy számlázási címet,
Set Tax Rule for shopping cart,Adózási szabály megadása a bevásárlókosárhoz,
Shipping Address,Szállítási cím,
Shop by Category,Vásárlás kategóriák szerint,
Shopping Cart,Kosár,
Short Description for List View,Rövid leírás a listanézethez,
Short Website Description,Rövid weboldal leírás,
Show Apply Coupon Code,Kuponkód alkalmazása,
Show Contact Us Button,Kapcsolat gomb megjelenítése,
Show Price,Árak megjelenítése,
Show Price in Quotation,Ár megjelenítése az ajánlatban,
Show Public Attachments,Nyilvános mellékletek megjelenítése,
Show Stock Availability,Raktárkészlet elérhetőségének megjelenítése,
Show Stock Quantity,Készlet mennyiség megjelenítése,
Show Stock availability based on this warehouse.,Raktárkészlet elérhetőségének megjelenítése ezen raktár alapján.,
Show a slideshow at the top of the page,Diavetítés megjelenítése az oldal tetején,
Slideshow,Diavetítés,
Something went wrong!,Hiba történt!,
Something went wrong. Check {0},Hiba történt. Ellenőrizze {0},
"Sorry, something went wrong. Please refresh.","Sajnáljuk, valami hiba történt. Kérjük, frissítse az oldalt!",
State,Megye,
Stock,Készlet,
Stock Information,Készlet információ,
Stock Manager,Készletkezelő menedzser,
Stock UOM,Készlet alapértelmezett mértékegység,
Stock User,Készletkezelő felhasználó,
Subject,Tárgy,
Submit,Elküld,
Submitted,Elküldve,
Submitting Review ...,Vélemény elküldése...,
Subtotal,Részösszeg,
Sun,Va,
Sunday,Vasárnap,
System Manager,Rendszer menedzser,
Tabs,Lapok,
Template,Sablon,
Terms and Conditions,Általános Szerződési Feltételek,
Thank you for submitting your review,"Köszönjük, hogy elküldte véleményét",
Thank you for the review,Köszönjük a véleményét,
The field filters will also work as categories in the <b>Shop by Category</b> page.,A mezőszűrők működni fognak kategóriaként a <b>Vásárlás kategóriák szerint</b> oldalon.,
This item can be only ordered for delivery on these days.,Ezt a tételt csak ezeken a napokon lehet rendelni.,
Thu,Csü,
Thumbnail,Miniatűr,
Thursday,Csütörtök,
Toggle Full Width,Teljes szélesség váltása,
Toggle Theme,Téma váltása,
Total,Összesen,
Total Amount,Összeg,
Tue,Ke,
Tuesday,Kedd,
UOM,Mértékegység,
Unpublished Item,Nem közzétett tétel,
User,Felhasználó,
User Forum,Felhasználói fórum,
Valid Till,Eddig érvényes,
Value must be between {0} and {1},Az értéknek {0} és {1} között kell lennie,
Variant,Változat,
Variant Of,Változata,
Variant of,Változata,
View,Nézet,
View More,Továbbiak megtekintése,
View Website,Weboldal megtekintése,
View Website Item,Weboldal tétel megtekintése,
View all reviews,Összes vélemény megtekintése,
View in Cart,Kosár megtekintése,
View in Quote,Ajánlat megtekintése,
Warehouse,Raktár,
Warning: Invalid SSL certificate on attachment {0},Figyelmeztetés: Érvénytelen SSL tanúsítvány a {0} mellékleten,
Warning: Invalid attachment {0},Figyelmeztetés: Érvénytelen melléklet {0},
Webshop,Webáruház,
Webshop Settings,Webáruház beállítások,
Website Content,Weboldal tartalma,
Website Description,Weboldal leírása,
Website Image,Weboldal kép,
Website Image should be a public file or website URL,A weboldal képnek nyilvános fájlnak vagy weboldal URL-nek kell lennie,
Website Image {0} attached to Item {1} cannot be found,"A(z) {0} weboldal kép, amely csatolva lett a(z) {1} tételhez, nem található",
Website Item,Weboldal termék,
Website Item Fields,Weboldal termék mezők,
Website Item Groups,Weboldal termék csoportok,
Website Item Image,Weboldal termék kép,
Website Item Name,Weboldal termék neve,
Website Item Tabbed Section,Weboldal termék lapozható szakasz,
Website Item Thumbnail,Weboldal termék miniatűr kép,
Website Item already exists against Item {0},Weboldal termék már létezik a(z) {0} tételhez,
Website Item already exists against {0},Weboldal termék már létezik a(z) {0} tételhez,
Website Item not found,Weboldal termék nem található,
Website Item {0} has been created.,Weboldal termék {0} létrehozva.,
Website Manager,Weboldal menedzser,
Website Offer,Weboldal ajánlat,
Website Specifications,Weboldal specifikációk,
Website Warehouse,Weboldal raktár,
Website display name,Weboldal megjelenítési neve,
Wed,Sze,
Wednesday,Szerda,
Wishlist,Kívánságlista,
Wishlist Item,Kívánságlistás tétel,
Wishlist is empty !,Kívánságlista üres!,
Wishlist is empty!,A kívánságlista üres!,
Write a Review,Vélemény írása,
You are not a verified customer yet. Please contact us to proceed.,"Ön még nem ellenőrzött vásárló. Kérjük, lépjen kapcsolatba velünk a folytatáshoz.",
You are not verified to write a review yet.,Ön még nem ellenőrzött felhasználó a vélemény írásához.,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Bármely érvényes Bootstrap 4 jelölést felhasználhat ebben a mezőben. Ez a cikk oldalán jelenik meg.,
You need to enable Shopping Cart,Be kell kapcsolnia a bevásárlókosarat,
Your cart is Empty,A kosara üres,
out of 5,5-ből,
ratings,értékelések,
{0} Not in Stock,{0} nincs raktáron,
{0} are not valid options for Search Index Field.,{0} nem érvényes lehetőség a Keresési index mezőhöz.,
{0} item found.,{0} elem található.,
{0} items found.,{0} elem található.,
Minimum Order Value,Minimális rendelési érték,
Online PassKey,Online Jelszókulcs,
API Key,API kulcs,
API Secret,API titkosítás,
About,Rólunk,
Access Token,Hozzáférési token,
Account Balance,Számla egyenleg,
Account Type,Számla típus,
Accounts Manager,Fiókkezelõ,
Accounts User,Számlák felhasználó,
Apps,Alkalmazások,
Available Balance,Rendelkezésre álló egyenleg,
Balance Details,Egyenleg részletei,
Consumer Key,Fogyasztói kulcs,
Consumer Secret,Fogyasztói titok,
Continue,Folytatás,
Current Balance,Aktuális egyenleg,
Customer,Vevő,
Disabled,Tiltva,
Documentation,Dokumentáció,
Email,Email,
Error,Hiba,
"For more information, {0}.",További információ: {0}.,
Frappe School,Frappe Iskola,
Frappe Support,Frappe Támogatás,
Get Account Balance,Fiókegyenleg beszerzése,
GoCardless Customer,GoCardless ügyfél,
GoCardless Mandate,GoCardless megbízás,
GoCardless Settings,GoCardless beállításai,
Initiator Name,Kezdeményező neve,
"Issue detected with Mpesa configuration, check the error logs for more details",Mpesa konfigurációval észlelt probléma. További részletekért ellenőrizze a hibanaplókat,
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Úgy tűnik, hogy probléma van a kiszolgáló sávszélesség konfigurációjával. Hiba esetén az összeg visszafizetésre kerül a számlájára.",
Keyboard Shortcuts,Billentyűparancsok,
Loading Payment System,Fizetési rendszer betöltés,
Log out,Kijelentkezés,
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Úgy néz ki, mintha valaki küldött egy hiányos URL-t. Kérjük, kérje meg, hogy nézzen utána.",
Mandate,Megbízás,
Mpesa Express Error,Mpesa Express hiba,
Mpesa Settings,Mpesa beállítások,
My Profile,Profilom,
My Settings,Beállításaim,
Name,Név,
Pay,Fizetés,
Pay {0} {1},Fizetés: {0} {1},
Payment Confirmation,Fizetés visszaigazolása,
Payment Failed,Fizetés meghiúsult,
Payment Gateway,Fizetési átjáró,
Payment Gateway Name,Fizetési átjáró elnevezése,
Payments,Kifizetések,
Please check your configuration and try again,"Kérjük, ellenőrizze a konfigurációt és próbálja újra",
Please select another payment method. Mpesa does not support transactions in currency '{0}',"Kérjük, válasszon másik fizetési módot. Az Mpesa nem támogatja a (z) „{0}” pénznemben végzett tranzakciókat",
Please select another payment method. Stripe does not support transactions in currency '{0}',"Kérjük, válasszon más fizetési módot. Csíkos nem támogatja a tranzakciót ebben a pénznemben '{0}'",
Please set the initiator name and the security credential,"Kérjük, állítsa be a kezdeményező nevét és a biztonsági hitelesítő adatot",
Processing...,Feldolgozás...,
Redirect URL,Az átirányítási URL,
Reload,Frissítés,
Report an Issue,Hiba jelentése,
Reserved Balance,Fenntartott egyenleg,
Sandbox,Homokozó,
Secret Key,Titkos kulcs,
Security Credential,Biztonsági hitelesítő adatok,
Server Error,Szerver hiba,
Session Defaults,Munkamenet beállításai,
Signature,Aláírás,
Some information is missing,Néhány információ hiányzik,
Something went wrong,Valami hiba történt,
Success,Siker,
System Manager,Rendszer menedzser,
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Úgy tűnik, hogy probléma van a szerver GoCardless konfigurációjával. Ne aggódjon, hiba esetén az összeget visszatérítjük a számlájára.",
Till Number,Számszámig,
Toggle Full Width,Teljes szélesség váltása,
Toggle Theme,Téma váltása,
Transaction Error,Tranzakciós hiba,
Uncleared Balance,Tisztázatlan egyenleg,
Use Sandbox,Sandbox felhasználása,
User Forum,Felhasználói fórum,
View Website,Weboldal megtekintése,
Webhooks Secret,Webes hívatkozáso titkosítása,
Website,Weboldal,
You are not allowed to update this Web Form Document,Nem frissítheti ezt a Web űrlap Dokumentumot,
You must login to submit this form,Be kell jelentkezie az űrlap beküldéséhez,
